"","chr","pos","mu1","mu2","diff","diff.se","stat","phi1","phi2","pval","fdr","postprob.overThreshold","name","annotation","description","region","distance","subregion","insideDistance","exonnumber","nexons","UTR","strand","geneL","codingL","Geneid","subjectHits"
"4912","chrX",7566770,0.0658937325304634,0.930131108735954,-0.86423737620549,0.146593292099155,-5.89547696098485,0.0344118394135466,0.0313220120062825,3.73600636280437e-09,2.1388636427055e-05,0.999999907277397,"Ppp1r3f","NM_001290574 NM_138605 NP_001277503 NP_613071","promoter","promoter",2482,NA,NA,NA,3,NA,"-",2058,NA,"54646",67916
"4115","chr11",97112909,0.356171833076022,0.936489265886559,-0.580317432810537,0.102664160458376,-5.65258051319494,0.0260360249479368,0.0294237747299779,1.58056720560614e-08,4.52437362604758e-05,0.999998555328034,"Tbx21","NM_019507 NP_062380","inside intron","inside",2422,"inside intron",1740,1,6,"inside transcription region","-",17260,NA,"57765",70992
"4117","chr11",97112918,0.250898333316336,0.857990880282696,-0.60709254696636,0.109123414520125,-5.56335732011391,0.0320027322063461,0.0312618904010725,2.6463324386978e-08,5.05008440384829e-05,0.999998315763934,"Tbx21","NM_019507 NP_062380","inside intron","inside",2413,"inside intron",1731,1,6,"inside transcription region","-",17260,NA,"57765",70992
"4119","chr11",97112952,0.242829224941499,0.87588959787482,-0.633060372933322,0.114949749347432,-5.50727928096576,0.0397492828718133,0.0264380119549616,3.64421881780859e-08,5.21578818298855e-05,0.999998235430303,"Tbx21","NM_019507 NP_062380","inside intron","inside",2379,"inside intron",1697,1,6,"inside transcription region","-",17260,NA,"57765",70992
"4116","chr11",97112910,0.264494596654911,0.934964579589706,-0.670469982934795,0.12752322627762,-5.25763033531766,0.0298254593390982,0.0311974440242807,1.45923470884425e-07,0.000167082374162667,0.999996152554246,"Tbx21","NM_019507 NP_062380","inside intron","inside",2421,"inside intron",1739,1,6,"inside transcription region","-",17260,NA,"57765",70992
"4128","chr11",97113026,0.162277137842162,0.835166150899693,-0.672889013057531,0.137863853830697,-4.8808225967908,0.0343990925875958,0.0374670550717295,1.05644245366718e-06,0.00100802217454077,0.999983779316091,"Tbx21","NM_019507 NP_062380","inside intron","inside",2305,"inside intron",1623,1,6,"inside transcription region","-",17260,NA,"57765",70992
"5435","chrX",7579234,0.948286041016555,0.231872619593212,0.716413421423343,0.155711562790812,4.6009005919862,0.034461952176333,0.0302221610502555,4.20668164960641e-06,0.00344046463485667,0.999962397566152,"Foxp3","NM_001199347 NM_001199348 NM_054039 NP_001186276 NP_001186277 NP_473380","promoter","promoter",333,NA,NA,NA,12,NA,"+",14232,NA,"20371",31443
"3765","chr11",97098899,0.976786499164095,0.458204039722391,0.518582459441704,0.127061094844422,4.08136306456887,0.0352901848618988,0.027175603135484,4.4772353117876e-05,0.03204021519998,0.999507297283961,"Tbx21","NM_019507 NP_062380","inside exon","inside",16432,"inside exon",0,6,6,"inside transcription region","-",17260,NA,"57765",70992
"4118","chr11",97112919,0.352740426996246,0.977753174494985,-0.625012747498739,0.159695173596166,-3.91378608021842,0.0313707620242418,0.0318351762245547,9.08601373959213e-05,0.052017428659165,0.999497574093935,"Tbx21","NM_019507 NP_062380","inside intron","inside",2412,"inside intron",1730,1,6,"inside transcription region","-",17260,NA,"57765",70992
"4127","chr11",97113025,0.26824888266183,0.799540132344753,-0.531291249682923,0.138172427727692,-3.84513219041053,0.0782705984432499,0.0268642298908992,0.000120487467542119,0.0627082501526029,0.999102481343444,"Tbx21","NM_019507 NP_062380","inside intron","inside",2306,"inside intron",1624,1,6,"inside transcription region","-",17260,NA,"57765",70992
"4123","chr11",97112985,0.353970853061765,0.814905265380297,-0.460934412318532,0.117249444020912,-3.93122898080714,0.0262837875975551,0.0248970541870457,8.45127305906238e-05,0.052017428659165,0.998960094958946,"Tbx21","NM_019507 NP_062380","inside intron","inside",2346,"inside intron",1664,1,6,"inside transcription region","-",17260,NA,"57765",70992
"4122","chr11",97112966,0.155280369865709,0.689175676125635,-0.533895306259926,0.147552805945121,-3.61833380829434,0.0308766399184351,0.029507525782037,0.000296505806123526,0.130576595389014,0.998370861549956,"Tbx21","NM_019507 NP_062380","inside intron","inside",2365,"inside intron",1683,1,6,"inside transcription region","-",17260,NA,"57765",70992
"1162","chr3",94375145,0.336433636136546,0.833035480482047,-0.496601844345501,0.135316947779733,-3.66991609324402,0.0293736320569952,0.0301415243355802,0.000242630097227064,0.115754775552079,0.998315342888396,"Rorc","NM_001293734 NM_011281 NP_001280663 NP_035411 NR_121656 XM_006501162 XM_006501163 XM_006501164 XP_006501225 XP_006501226 XP_006501227","promoter","promoter",2287,NA,NA,NA,10,NA,"+",20844,NA,"19885",30385
"4884","chrX",7565341,0.0658937325304634,0.762725428013482,-0.696831695483018,0.208319310837048,-3.34501728468225,0.0344118394135466,0.030277018655763,0.000822774426859107,0.300090843239239,0.997980227735759,"Ppp1r3f","NM_001290574 NM_138605 NP_001277503 NP_613071","promoter","promoter",1053,NA,NA,NA,3,NA,"-",2058,NA,"54646",67916
"1331","chr3",94382899,0.701181719821949,0.123359636328876,0.577822083493073,0.171584970161923,3.36755651120135,0.0476851864012838,0.0293133036299489,0.000758374821289786,0.300090843239239,0.99736060711619,"Rorc","NM_001293734 NM_011281 NP_001280663 NP_035411 NR_121656 XM_006501162 XM_006501163 XM_006501164 XP_006501225 XP_006501226 XP_006501227","inside intron","inside",5383,"inside intron",1284,2,7,"5' UTR","+",20132,NA,"19885",30387
"2154","chr4",128795946,0.946264336621301,0.348736349602767,0.597527987018534,0.18069405963632,3.30684909189139,0.0346586940225924,0.028907082979952,0.000943517061712893,0.300090843239239,0.997107888904745,"Zfp362","NM_001081098 NP_001074567 XM_030253454 XM_036164050 XP_030109314 XP_036019943","promoter","promoter",1058,NA,NA,NA,8,NA,"-",21784,NA,"230761",45393
"4121","chr11",97112965,0.213390739973194,0.653831607497531,-0.440440867524337,0.132639484330637,-3.32058639813789,0.0268753013854459,0.035993796410942,0.000898285506281983,0.300090843239239,0.99488893928389,"Tbx21","NM_019507 NP_062380","inside intron","inside",2366,"inside intron",1684,1,6,"inside transcription region","-",17260,NA,"57765",70992
