"","chr","pos","mu1","mu2","diff","diff.se","stat","phi1","phi2","pval","fdr","postprob.overThreshold","name","annotation","description","region","distance","subregion","insideDistance","exonnumber","nexons","UTR","strand","geneL","codingL","Geneid","subjectHits"
"1883","chr4",128787635,0.0641982262565523,0.962160652554399,-0.897962426297846,0.113493079684843,-7.91204564006352,0.0275134382353949,0.0362602717993964,2.53193529605201e-15,1.44168395757201e-11,0.999999999998974,"Zfp362","NM_001081098 NP_001074567 XM_030253454 XM_036164050 XP_030109314 XP_036019943","close to 3'","close to 3'",2457,NA,NA,NA,2,NA,"-",771,NA,"230761",45395
"1881","chr4",128787557,0.0641982262565523,0.958534895601366,-0.894336669344813,0.116648684973255,-7.66692457398781,0.0275134382353949,0.0362281861359652,1.76169303671502e-14,5.01554007552765e-11,0.999999999995108,"Zfp362","NM_001081098 NP_001074567 XM_030253454 XM_036164050 XP_030109314 XP_036019943","downstream","downstream",2535,NA,NA,NA,2,NA,"-",771,NA,"230761",45395
"1877","chr4",128787500,0.0719173247822813,0.958480943893728,-0.886563619111446,0.125836850056671,-7.04534179544527,0.0272627471440529,0.0362389945185444,1.85006805498758e-12,3.51142916836642e-09,0.999999999795644,"Zfp362","NM_001081098 NP_001074567 XM_030253454 XM_036164050 XP_030109314 XP_036019943","downstream","downstream",2592,NA,NA,NA,2,NA,"-",771,NA,"230761",45395
"1879","chr4",128787551,0.0747130779775236,0.780083729488334,-0.70537065151081,0.172523224683794,-4.08855476011208,0.0277060457186542,0.032746641525512,4.3406908589548e-05,0.0471771727332379,0.999776556483629,"Zfp362","NM_001081098 NP_001074567 XM_030253454 XM_036164050 XP_030109314 XP_036019943","downstream","downstream",2541,NA,NA,NA,2,NA,"-",771,NA,"230761",45395
"3754","chr11",97098722,0.941056070609372,0.243801047904115,0.697255022705257,0.17234191469362,4.04576579031746,0.0277476519774184,0.0348036130782175,5.21523551987251e-05,0.0471771727332379,0.999737264153515,"Tbx21","NM_019507 NP_062380","inside exon","inside",16609,"inside exon",0,6,6,"3'UTR","-",17260,NA,"57765",70992
"2924","chr8",115704969,0.65656364149586,0.157790890379837,0.498772751116023,0.117211913539626,4.25530763941843,0.0179527857686231,0.0313859537973442,2.08761777430092e-05,0.0297172390171736,0.99966587523787,"Maf","NM_001025577 NP_001020748","inside exon","inside",2825,"inside exon",0,1,1,"3'UTR","-",6359,NA,"17132",23213
"1873","chr4",128787473,0.0641982262565523,0.717644756080111,-0.653446529823559,0.166332683513215,-3.92855159925105,0.0275134382353949,0.0327848301559354,8.54590157487348e-05,0.060825454459162,0.999564566739664,"Zfp362","NM_001081098 NP_001074567 XM_030253454 XM_036164050 XP_030109314 XP_036019943","downstream","downstream",2619,NA,NA,NA,2,NA,"-",771,NA,"230761",45395
"1867","chr4",128787446,0.187358629566336,0.883571862236321,-0.696213232669984,0.179503028765428,-3.87855980736563,0.0237441803089949,0.0339117096051118,0.000105076695197747,0.0626285107845927,0.999556860441915,"Zfp362","NM_001081098 NP_001074567 XM_030253454 XM_036164050 XP_030109314 XP_036019943","downstream","downstream",2646,NA,NA,NA,2,NA,"-",771,NA,"230761",45395
"1875","chr4",128787494,0.248659022624306,0.958534895601366,-0.709875872977059,0.201617617557604,-3.52090200041294,0.024288894747447,0.0362281861359652,0.000430081533185671,0.185299655044166,0.998785964742805,"Zfp362","NM_001081098 NP_001074567 XM_030253454 XM_036164050 XP_030109314 XP_036019943","downstream","downstream",2598,NA,NA,NA,2,NA,"-",771,NA,"230761",45395
"1871","chr4",128787465,0.187358629566336,0.85731866546098,-0.669960035894643,0.189356431958307,-3.53808967018431,0.0237441803089949,0.0350677258157686,0.000403033162342203,0.185299655044166,0.998717590958306,"Zfp362","NM_001081098 NP_001074567 XM_030253454 XM_036164050 XP_030109314 XP_036019943","downstream","downstream",2627,NA,NA,NA,2,NA,"-",771,NA,"230761",45395
