"","chr","pos","mu1","mu2","diff","diff.se","stat","phi1","phi2","pval","fdr","name","annotation","description","region","distance","subregion","insideDistance","exonnumber","nexons","UTR","strand","geneL","codingL","Geneid","subjectHits"
"4119","chr11",97112952,0.37847938339347,0.034896143139968,0.343583240253502,0.105502245250844,3.2566438698683,0.0344261077916066,0.026718353063136,0.00112737781735497,0.999997191883992,"Tbx21","NM_019507 NP_062380","inside intron","inside",2379,"inside intron",1697,1,6,"inside transcription region","-",17260,NA,"57765",70992
"3629","chr11",53615380,0.0139638432625305,0.23814581955155,-0.22418197628902,0.0722600300941817,-3.10243402883762,0.0326115543781591,0.0237772639857161,0.00191936322604865,0.999997191883992,"Il4","NM_021283 NP_067258 NR_027491","inside intron","inside",1844,"inside intron",-1323,2,4,"inside transcription region","-",14242,NA,"16189",20500
"4115","chr11",97112909,0.331000415264216,0.0499148589821505,0.281085556282065,0.103593544896938,2.71335010846195,0.0348855870096697,0.0271980378408125,0.00666066936122711,0.999997191883992,"Tbx21","NM_019507 NP_062380","inside intron","inside",2422,"inside intron",1740,1,6,"inside transcription region","-",17260,NA,"57765",70992
"4752","chr12",119241913,0.197549879833458,0.00070278143277551,0.196847098400682,0.0776359340770874,2.53551529637327,0.032175807792612,0.0281838825503944,0.0112282024668209,0.999997191883992,"Itgb8","NM_177290 NP_796264 XM_036157503 XP_036013396","upstream","upstream",3111,NA,NA,NA,14,NA,"-",80780,NA,"320910",59979
"1345","chr3",94383792,0.246222658471322,0.00100170091885591,0.245220957552467,0.100235943276129,2.44643737104298,0.0327159704875455,0.0281764932409429,0.0144275861009038,0.999997191883992,"Rorc","NM_001293734 NM_011281 NP_001280663 NP_035411 NR_121656 XM_006501162 XM_006501163 XM_006501164 XP_006501225 XP_006501226 XP_006501227","inside intron","inside",6276,"inside intron",391,2,7,"5' UTR","+",20132,NA,"19885",30387
"4123","chr11",97112985,0.233999642781268,0.0269169693017888,0.207082673479479,0.087432179367085,2.36849492919581,0.0327409315890536,0.0259209440620319,0.0178606252169122,0.999997191883992,"Tbx21","NM_019507 NP_062380","inside intron","inside",2346,"inside intron",1664,1,6,"inside transcription region","-",17260,NA,"57765",70992
"4117","chr11",97112918,0.273355355714034,0.0529042989785505,0.220451056735484,0.0949334315020621,2.32216462891363,0.0311299955124371,0.0255867084862403,0.0202240727702879,0.999997191883992,"Tbx21","NM_019507 NP_062380","inside intron","inside",2413,"inside intron",1731,1,6,"inside transcription region","-",17260,NA,"57765",70992
"2621","chr4",128806141,0.00453770998904409,0.70466464898038,-0.700126938991336,0.302080783241377,-2.31768115627501,0.0364401000098476,0.0281644458859653,0.0204666558798453,0.999997191883992,"Zfp362","NM_001081098 NP_001074567 XM_030253454 XM_036164050 XP_030109314 XP_036019943","promoter","promoter",96,NA,NA,NA,7,NA,"-",28961,NA,"230761",45394
"396","chr2",9865806,0.21662717488105,0.000760531340002557,0.215866643541048,0.0946263670443862,2.28125257561449,0.0416149626284274,0.0281892088829906,0.0225335052561693,0.999997191883992,"Gata3","NM_001355110 NM_001355111 NM_001355112 NM_008091 NP_001342039 NP_001342040 NP_001342041 NP_032117 XM_006497354 XM_030247532 XM_030247533 XP_006497417 XP_030103392 XP_030103393","inside intron","inside",7866,"inside intron",-2585,3,3,"inside transcription region","-",10489,NA,"14462",17664
"3433","chr10",118442203,0.217511184324914,0.0221278001660845,0.19538338415883,0.08646363169477,2.25971752896713,0.033988335310293,0.0259613187239285,0.0238387876777788,0.999997191883992,"Ifng","NM_008337 NP_032363","inside intron","inside",1156,"inside intron",256,2,2,"inside transcription region","+",1571,NA,"15978",20217
"3432","chr10",118442202,0.282771644409101,0.0684803686902245,0.214291275718876,0.0952708130698751,2.24928568166734,0.0309951774542881,0.0257273188187881,0.0244943261952676,0.999997191883992,"Ifng","NM_008337 NP_032363","inside intron","inside",1155,"inside intron",257,2,2,"inside transcription region","+",1571,NA,"15978",20217
"2846","chr4",128807333,0.554232223873889,0.130195713754735,0.424036510119154,0.197925792099958,2.14240148098032,0.0362043156742349,0.0280104938876799,0.0321611888271155,0.999997191883992,"Zfp362","NM_001081098 NP_001074567 XM_030253454 XM_036164050 XP_030109314 XP_036019943","promoter","promoter",1288,NA,NA,NA,7,NA,"-",28961,NA,"230761",45394
"1085","chr3",94371828,0.152846586510488,0.000694186301209495,0.152152400209279,0.0719876250558692,2.11359105250652,0.0308553277500843,0.0281829970836371,0.0345502107217476,0.999997191883992,"Rorc","NM_001293734 NM_011281 NP_001280663 NP_035411 NR_121656 XM_006501162 XM_006501163 XM_006501164 XP_006501225 XP_006501226 XP_006501227","promoter","promoter",966,NA,NA,NA,11,NA,"+",25046,NA,"19885",30384
"4939","chrX",7567721,0.00116867513336853,0.224452220240055,-0.223283545106687,0.107331885436581,-2.08030953894514,0.0364568172706772,0.02597967639262,0.0374971504298547,0.999997191883992,"Ppp1r3f","NM_001290574 NM_138605 NP_001277503 NP_613071","upstream","upstream",3433,NA,NA,NA,3,NA,"-",2058,NA,"54646",67916
"1025","chr3",94368986,0.00116867513336853,0.224651699420849,-0.223483024287481,0.10792525043998,-2.0707204604706,0.0364568172706772,0.0258985018477878,0.0383849270292664,0.999997191883992,"Rorc","NM_001293734 NM_011281 NP_001280663 NP_035411 NR_121656 XM_006501162 XM_006501163 XM_006501164 XP_006501225 XP_006501226 XP_006501227","upstream","upstream",3808,NA,NA,NA,11,NA,"+",25046,NA,"19885",30384
"4523","chr12",119228916,0.000757535506127842,0.177764144775984,-0.177006609269856,0.089021703529865,-1.98835342676265,0.0364722014506161,0.0262526918382263,0.0467726158031939,0.999997191883992,"Itgb8","NM_177290 NP_796264 XM_036157503 XP_036013396","inside intron","inside",9854,"inside intron",8755,1,3,"inside transcription region","-",37307,NA,"320910",59981
"1875","chr4",128787494,0.304628158396953,0.00335089347832168,0.301277264918632,0.152737529328694,1.97251629146284,0.0358947331549505,0.0281676798407752,0.0485506983927959,0.999997191883992,"Zfp362","NM_001081098 NP_001074567 XM_030253454 XM_036164050 XP_030109314 XP_036019943","downstream","downstream",2598,NA,NA,NA,2,NA,"-",771,NA,"230761",45395
"4127","chr11",97113025,0.191231463572634,0.0268392994248794,0.164392164147754,0.0833685589332948,1.97187244509394,0.0310838491712776,0.0266309796328148,0.0486241695951087,0.999997191883992,"Tbx21","NM_019507 NP_062380","inside intron","inside",2306,"inside intron",1624,1,6,"inside transcription region","-",17260,16365,"57765",70992
"2900","chr8",115703338,0.205102572468366,0.045858096005128,0.159244476463238,0.0809841693870639,1.96636549671985,0.0292295847472801,0.0336093899035561,0.0492564060344736,0.999997191883992,"Maf","NM_001025577 NP_001020748","inside exon","inside",4456,"inside exon",0,1,1,"3'UTR","-",6359,1112,"17132",23213
